path,lines,status,explored
Barotrauma/BarotraumaClient/ClientSource/GUI/GUIPrefab.cs,472,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/GUIProgressBar.cs,168,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/GUIRadioButtonGroup.cs,92,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/GUIScissorComponent.cs,94,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/GUIScrollBar.cs,349,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/GUISelectionCarousel.cs,210,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/GUIStyle.cs,275,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/GUITextBlock.cs,668,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/GUITextBox.cs,929,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/GUITickBox.cs,240,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/Graph.cs,81,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/HRManagerUI.cs,1289,done,1290
Barotrauma/BarotraumaClient/ClientSource/GUI/HUDLayoutSettings.cs,231,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/IMEPreviewText.cs,90,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/LoadingScreen.cs,423,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/MedicalClinicUI.cs,1199,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/ParamsEditor.cs,57,done,57
Barotrauma/BarotraumaClient/ClientSource/GUI/RectTransform.cs,987,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/ShapeExtensions.cs,371,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/Store.cs,2385,done,2385
Barotrauma/BarotraumaClient/ClientSource/GUI/SubmarineSelection.cs,861,done,862
Barotrauma/BarotraumaClient/ClientSource/GUI/TabMenu.cs,1940,done,1941
Barotrauma/BarotraumaClient/ClientSource/GUI/TalentMenu.cs,1101,done,1101
Barotrauma/BarotraumaClient/ClientSource/GUI/UISprite.cs,189,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/UpgradeStore.cs,1955,done,1955
Barotrauma/BarotraumaClient/ClientSource/GUI/VideoPlayer.cs,302,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/VotingInterface.cs,306,new,0
Barotrauma/BarotraumaClient/ClientSource/GUI/Widget.cs,194,new,0
Barotrauma/BarotraumaClient/ClientSource/GameAnalytics/GameAnalyticsManager.cs,122,new,0
Barotrauma/BarotraumaClient/ClientSource/GameMain.cs,1370,partial,16
Barotrauma/BarotraumaClient/ClientSource/GameSession/CargoManager.cs,219,done,219
Barotrauma/BarotraumaClient/ClientSource/GameSession/CrewManager.cs,3928,done,3928
Barotrauma/BarotraumaClient/ClientSource/GameSession/Data/CampaignMetadata.cs,98,new,0
Barotrauma/BarotraumaClient/ClientSource/GameSession/Data/Wallet.cs,31,new,0
Barotrauma/BarotraumaClient/ClientSource/GameSession/GameMode.cs,10,new,0
Barotrauma/BarotraumaClient/ClientSource/GameSession/GameModes/CampaignMode.cs,470,done,470
Barotrauma/BarotraumaClient/ClientSource/GameSession/GameModes/MultiPlayerCampaign.cs,1119,done,1119
Barotrauma/BarotraumaClient/ClientSource/GameSession/GameModes/SinglePlayerCampaign.cs,686,done,686
Barotrauma/BarotraumaClient/ClientSource/GameSession/GameModes/TestGameMode.cs,153,new,0
Barotrauma/BarotraumaClient/ClientSource/GameSession/GameModes/Tutorials/Tutorial.cs,370,done,370
Barotrauma/BarotraumaClient/ClientSource/GameSession/GameModes/Tutorials/TutorialMode.cs,30,new,0
Barotrauma/BarotraumaClient/ClientSource/GameSession/GameSession.cs,361,done,361
Barotrauma/BarotraumaClient/ClientSource/GameSession/HintManager.cs,835,done,835
Barotrauma/BarotraumaClient/ClientSource/GameSession/MedicalClinic.cs,415,partial,414
Barotrauma/BarotraumaClient/ClientSource/GameSession/ObjectiveManager.cs,632,done,632
Barotrauma/BarotraumaClient/ClientSource/GameSession/PvPMode.cs,84,new,0
Barotrauma/BarotraumaClient/ClientSource/GameSession/ReadyCheck.cs,310,partial,32
